model,fold,params,accuracy,precision,sensitivity,specificity,f1,roc_auc,tn,fp,fn,tp,average_precision,balanced_accuracy,brier_score
J48,0,"{""confidence"": 0.1, ""min_leaf"": 20, ""balanced"": true}",0.7226097178683386,0.3033351862145636,0.7705450437729455,0.7148869375312799,0.4353063178047224,0.807478201927724,31425,12533,1625,5457,0.36257485537243495,0.7427159906521127,0.17984580592654847
Naive Bayes,0,"{""smoothing"": 1e-07, ""balanced"": true}",0.7273706896551724,0.29870971543038943,0.71589946342841,0.7292187997634105,0.42153398461858244,0.7876515661743253,32055,11903,2012,5070,0.3470526870289819,0.7225591315959103,0.23251085237319455
Logistic Regression,0,"{""c"": 0.1, ""balanced"": false}",0.8648315047021944,0.5449189985272459,0.15673538548432647,0.9789116884298649,0.243447746463428,0.825779725567674,43031,927,5972,1110,0.4102509649270777,0.5678235369570956,0.09804996902732839
