model,accuracy,precision,sensitivity,specificity,f1,roc_auc,tn,fp,fn,tp
J48,0.7434895833333334,0.6066066066066066,0.753731343283582,0.738,0.6722129783693843,0.8116716417910448,369.0,131.0,66.0,202.0
J48 SMOTE,0.7213541666666666,0.5775862068965517,0.75,0.706,0.6525974025974026,0.7478470149253731,353.0,147.0,67.0,201.0
J48 capped,0.74609375,0.6289752650176679,0.664179104477612,0.79,0.6460980036297641,0.7676604477611941,395.0,105.0,90.0,178.0
J48 five features,0.73828125,0.6120401337792643,0.6828358208955224,0.768,0.6455026455026455,0.7809179104477613,384.0,116.0,85.0,183.0
J48 reference,0.75390625,0.6395759717314488,0.6753731343283582,0.796,0.6569872958257713,0.7796119402985074,398.0,102.0,87.0,181.0
J48 unpruned,0.7578125,0.6443661971830986,0.6828358208955224,0.798,0.6630434782608695,0.7758582089552238,399.0,101.0,85.0,183.0
J48 zeros untreated,0.7630208333333334,0.6666666666666666,0.6417910447761194,0.828,0.6539923954372624,0.7642425373134327,414.0,86.0,96.0,172.0
Logistic Regression,0.7669270833333334,0.6831275720164609,0.6194029850746269,0.846,0.649706457925636,0.8233208955223881,423.0,77.0,102.0,166.0
Naive Bayes,0.7395833333333334,0.60625,0.7238805970149254,0.748,0.6598639455782312,0.8216567164179104,374.0,126.0,74.0,194.0
